file,samples,sr,onset_time,frame_idx
test_006.wav,20160,24000,0.7253333333333334,34
test_007.wav,63360,24000,0.5973333333333334,28
test_008.wav,267840,24000,2.752,129
test_009.wav,315840,24000,0.8106666666666666,38
test_010.wav,657600,24000,0.832,39
