timestamp, index, name, utilization.gpu [%], memory.used [MiB]
2026/05/26 19:01:53.109, 0, NVIDIA GeForce GTX 1070, 2 %, 3113 MiB
2026/05/26 19:01:54.113, 0, NVIDIA GeForce GTX 1070, 2 %, 3100 MiB
2026/05/26 19:01:55.127, 0, NVIDIA GeForce GTX 1070, 0 %, 3098 MiB
2026/05/26 19:01:56.135, 0, NVIDIA GeForce GTX 1070, 0 %, 3164 MiB
2026/05/26 19:01:57.145, 0, NVIDIA GeForce GTX 1070, 0 %, 3175 MiB
2026/05/26 19:01:58.156, 0, NVIDIA GeForce GTX 1070, 0 %, 3175 MiB
2026/05/26 19:01:59.162, 0, NVIDIA GeForce GTX 1070, 2 %, 3119 MiB
2026/05/26 19:02:00.162, 0, NVIDIA GeForce GTX 1070, 1 %, 3142 MiB
2026/05/26 19:02:01.163, 0, NVIDIA GeForce GTX 1070, 0 %, 3146 MiB
2026/05/26 19:02:02.169, 0, NVIDIA GeForce GTX 1070, 0 %, 3150 MiB
2026/05/26 19:02:03.171, 0, NVIDIA GeForce GTX 1070, 0 %, 3120 MiB
2026/05/26 19:02:04.177, 0, NVIDIA GeForce GTX 1070, 0 %, 3153 MiB
2026/05/26 19:02:05.180, 0, NVIDIA GeForce GTX 1070, 0 %, 3153 MiB
2026/05/26 19:02:06.185, 0, NVIDIA GeForce GTX 1070, 0 %, 3153 MiB
2026/05/26 19:02:07.188, 0, NVIDIA GeForce GTX 1070, 1 %, 3153 MiB
2026/05/26 19:02:08.191, 0, NVIDIA GeForce GTX 1070, 1 %, 3154 MiB
2026/05/26 19:02:09.205, 0, NVIDIA GeForce GTX 1070, 1 %, 3176 MiB
2026/05/26 19:02:10.220, 0, NVIDIA GeForce GTX 1070, 3 %, 3188 MiB
2026/05/26 19:02:11.236, 0, NVIDIA GeForce GTX 1070, 0 %, 3188 MiB
2026/05/26 19:02:12.250, 0, NVIDIA GeForce GTX 1070, 0 %, 3117 MiB
2026/05/26 19:02:13.263, 0, NVIDIA GeForce GTX 1070, 0 %, 3117 MiB
2026/05/26 19:02:14.263, 0, NVIDIA GeForce GTX 1070, 0 %, 3121 MiB
2026/05/26 19:02:15.272, 0, NVIDIA GeForce GTX 1070, 0 %, 3121 MiB
2026/05/26 19:02:16.273, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:17.277, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:18.279, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:19.294, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:20.309, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:21.313, 0, NVIDIA GeForce GTX 1070, 0 %, 3090 MiB
2026/05/26 19:02:22.315, 0, NVIDIA GeForce GTX 1070, 0 %, 3084 MiB
2026/05/26 19:02:23.328, 0, NVIDIA GeForce GTX 1070, 1 %, 3160 MiB
2026/05/26 19:02:24.340, 0, NVIDIA GeForce GTX 1070, 0 %, 3160 MiB
2026/05/26 19:02:25.354, 0, NVIDIA GeForce GTX 1070, 0 %, 3160 MiB
2026/05/26 19:02:26.357, 0, NVIDIA GeForce GTX 1070, 0 %, 3160 MiB
2026/05/26 19:02:27.361, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:28.376, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:29.381, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:30.386, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:31.400, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
2026/05/26 19:02:32.401, 0, NVIDIA GeForce GTX 1070, 0 %, 3093 MiB
